date,Date (aggregated based on UTC),Raw_Moderated_cph,Raw_Mod_Coeff_of_Var,Raw_Mod_sqrt,Corrected_Mod_cph_for_Des,SWC_Des_cm3_cm3,Corrected_Mod_cph_for_UTS,SWC_UTS_cm3_cm3,Rhov_g_cm3,BaroPress_mb,SWC_5,SWC_10,SWC_20,SWC_50,WeightedTDR_SWC,WeightedTDR_SD,WeightedTDR_SE,sT_5,sT_10,sT_20,sT_50,PRISM_ppt_mm,BaroPress,airRH,airT,date,CRNS,Bare
2023-08-04,2023-08-04,4586.6875,0.0104525113448515,95.74560712426243,2293.7755304619186,0.0583309177631377,2188.568457127225,0.0460968017578125,8.232811106641706e-06,808.4395833333333,0.0532708333333333,0.0650208333333333,0.0572708333333333,0.0789791666666666,0.0594522149515412,0.01695478345764,0.0084444303750673,16.3875,15.977083333333333,15.539583333333333,14.675,4.6724997,808.4395833333333,51.98571428571429,20.67619047619048,2023-08-04,0.0460968017578125,1090.463791356672
2023-08-05,2023-08-05,4704.145833333333,0.0103110823193527,96.99192535717228,2378.7804913717296,0.0335479071034435,2277.3477132815847,0.0775337219238281,8.247885532825296e-06,808.4166666666666,0.0551041666666666,0.0657916666666666,0.0579583333333333,0.0792291666666666,0.0606037016282499,0.0156268777481043,0.0077830590672683,17.529166666666665,16.868750000000002,15.785416666666668,14.5875,0.0,808.4166666666666,57.86666666666667,18.1125,2023-08-05,0.0775337219238281,1088.2189466603234
2023-08-06,2023-08-06,4767.395833333333,0.0102436542249815,97.63794432973236,2409.8505249308,0.0283428261945376,2314.869749230465,0.071044921875,7.601726157246181e-06,807.9895833333334,0.0554583333333333,0.0659791666666666,0.058,0.0792708333333333,0.0608189958185482,0.0153785983799538,0.0076594020566582,17.83125,16.897916666666667,15.795833333333334,14.6,0.0,807.9895833333334,52.72291666666666,18.591666666666665,2023-08-06,0.071044921875,1095.6947493975783
2023-08-07,2023-08-07,4876.520833333333,0.0101275776413637,98.75175214568571,2449.4931811841448,0.0218628118845119,2365.088875892978,0.0628255208333333,6.616544223087191e-06,808.0145833333332,0.0555416666666666,0.0660208333333333,0.058,0.0784375,0.0608173872422339,0.0153804534059086,0.0076603259633279,18.359574468085107,17.33125,16.002083333333335,14.622916666666669,0.0,808.0145833333332,48.825,18.33333333333333,2023-08-07,0.0628255208333333,1079.3550460083425
2023-08-08,2023-08-08,5023.291666666667,0.0099792868487347,100.22426353024764,2471.5527686208998,0.0185204461091005,2394.9353745823605,0.0584042867024739,5.932888173456117e-06,806.1833333333334,0.05475,0.0656458333333333,0.0577291666666666,0.0788333333333333,0.060341462888738,0.0159292940300318,0.0079336792886002,17.720833333333335,17.085416666666667,15.997916666666669,14.666666666666666,0.0,806.1833333333334,48.39375,16.789583333333333,2023-08-08,0.0584042867024739,1065.6433688186241
2023-08-09,2023-08-09,5067.979166666667,0.009935192502826,100.66905417914651,2483.303783989299,0.0167594551140091,2409.446305586642,0.0563163757324218,5.686599662806436e-06,805.6875,0.0533333333333333,0.0647708333333333,0.0572708333333333,0.0787083333333333,0.0593801495507384,0.0170378899834224,0.0084858220727222,16.474999999999998,15.86875,15.341666666666669,14.520833333333334,0.0,805.6875,46.07916666666667,16.608333333333334,2023-08-09,0.0563163757324218,1070.2792382787761
2023-08-10,2023-08-10,5207.6875,0.0097995782825364,102.05224117010316,2508.466538946632,0.012976582463284,2429.6763196453217,0.0533167521158854,6.008019321311838e-06,805.1916666666666,0.0532291666666666,0.0649583333333333,0.0572291666666666,0.077,0.0592902702108629,0.0171415397181558,0.0085374454373342,18.072916666666668,16.962500000000002,15.560416666666669,14.3875,0.0,805.1916666666666,42.8625,18.05208333333333,2023-08-10,0.0533167521158854,1054.966579582841
2023-08-11,2023-08-11,5089.229166666667,0.0099127429873225,100.88564704661064,2492.0684653411085,0.0153016442838322,2386.5665848963786,0.0594037373860677,8.187604447160574e-06,807.3249999999999,0.0523125,0.0647916666666666,0.0571041666666666,0.0766875,0.0588211899772393,0.017682487636233,0.0088068677535881,17.881249999999998,17.052083333333332,15.747916666666669,14.433333333333332,0.89559996,807.3249999999999,58.15,17.879166666666666,2023-08-11,0.0594037373860677,1057.2772922727634
2023-08-12,2023-08-12,5117.854166666667,0.0098850947941099,101.16857612493952,2498.8949296919795,0.0143283500807782,2385.6644201235413,0.0595855712890625,8.796242184992716e-06,808.0833333333334,0.0513541666666666,0.0644791666666666,0.0567291666666666,0.0766875,0.0582530727184565,0.0183376460213736,0.0091331732697737,17.789583333333333,16.98125,15.741666666666667,14.460416666666667,0.0,808.0833333333334,59.802083333333336,17.841666666666665,2023-08-12,0.0595855712890625,1070.4353316298927
2023-08-13,2023-08-13,5026.791666666667,0.00997534942379,100.26073330966284,2452.431890185137,0.0214563930669148,2335.857028662253,0.0675303141276041,9.254160777858722e-06,808.4729166666666,0.0501041666666666,0.0640416666666666,0.0567916666666666,0.0762916666666666,0.0575961313907445,0.0190952371924605,0.0095104960420163,16.204166666666666,15.81875,15.410416666666668,14.45625,0.091699995,808.4729166666666,73.57083333333334,16.3125,2023-08-13,0.0675303141276041,1074.2213764517244
2023-08-14,2023-08-14,5081.75,0.0099208193992768,100.80882173882968,2484.91053209134,0.0164479146080782,2396.556593201448,0.0580101013183593,6.82399419855389e-06,810.6458333333334,0.049875,0.0640416666666666,0.0565624999999999,0.0776458333333333,0.0575343523445173,0.0191664813934349,0.0095459796385045,17.447916666666668,16.477083333333333,15.46875,14.383333333333333,0.0,810.6458333333334,47.4875,18.35625,2023-08-14,0.0580101013183593,1053.7468251603227
2023-08-15,2023-08-15,5011.916666666667,0.0099902880551863,100.1118104537364,2485.6668802555764,0.0163223655102748,2388.0101228072435,0.0592803955078125,7.573879384644761e-06,812.2916666666666,0.0496041666666666,0.064125,0.0568541666666666,0.0779791666666666,0.0575335725959806,0.0191673806070817,0.00954642749719,18.3375,17.1375,15.74375,14.429166666666667,0.0,812.2916666666666,51.270833333333336,19.48958333333333,2023-08-15,0.0592803955078125,1052.0716611522464
2023-08-16,2023-08-16,5152.708333333333,0.0098518745340043,101.5115713660498,2513.6256533024048,0.0121977203703128,2402.719313158122,0.0570526123046875,8.549240276777576e-06,810.3000000000001,0.0489375,0.0643958333333333,0.0567291666666666,0.0776041666666666,0.0573042307894872,0.0194318598237656,0.0096781529383624,19.22083333333333,17.900000000000002,16.164583333333333,14.54375,0.0,810.3000000000001,50.76666666666667,20.7125,2023-08-16,0.0570526123046875,1074.952903435537
2023-08-17,2023-08-17,4833.3125,0.0101737912919453,98.30985347651324,2361.807338463348,0.0366726806304091,2238.098122166975,0.0850741068522135,1.0232075812453249e-05,809.1666666666666,0.0581041666666666,0.088125,0.056125,0.0758541666666666,0.0685020897074919,0.0065183792837254,0.0032465174301531,17.25,16.681250000000002,15.908333333333331,14.652083333333332,5.5842,809.1666666666666,68.17708333333333,18.8,2023-08-17,0.0850741068522135,1086.119338956754
2023-08-18,2023-08-18,4915.270833333333,0.0100880563237732,99.14183465522484,2379.88167969644,0.0333216060584913,2260.415972444666,0.0808397928873698,9.812054845800544e-06,808.1166666666667,0.0581458333333333,0.0794375,0.0566041666666666,0.0748333333333333,0.0657311694021807,0.0097138317092875,0.0048380314469446,18.35833333333333,17.70625,16.322916666666668,14.720833333333331,0.0,808.1166666666667,58.35,20.35,2023-08-18,0.0808397928873698,1093.515528228727
2023-08-19,2023-08-19,4794.333333333333,0.0102144771504082,97.91456897462592,2347.8458420912543,0.0391008248903819,2229.857274403686,0.0866953531901041,9.806042651729917e-06,808.49375,0.0629166666666666,0.0746041666666666,0.0566666666666666,0.0771666666666666,0.0662324222336721,0.0091357820363543,0.0045501303818199,17.474999999999998,16.912499999999998,16.110416666666666,14.847916666666668,2.9601,808.49375,67.63541666666667,18.8125,2023-08-19,0.0866953531901041,1086.8215647917023
2023-08-20,2023-08-20,4906.229166666667,0.0100968039351456,99.0522956829562,2407.758300100405,0.0285436373192941,2309.312043294804,0.0719146728515625,7.911968042197364e-06,808.225,0.0603958333333333,0.0724583333333333,0.0570416666666666,0.0752083333333333,0.0644808991842125,0.0111556555657717,0.0055561403629099,18.11458333333333,17.35625,16.2375,14.8625,0.0,808.225,50.07708333333333,20.92708333333333,2023-08-20,0.0719146728515625,1090.496089809793
2023-08-21,2023-08-21,4963.5,0.010038674858327,99.62781255487506,2448.827059792508,0.0219754044496161,2367.2739397675664,0.0624771118164062,6.38286344982872e-06,810.0124999999999,0.0577916666666666,0.0704166666666666,0.0572708333333333,0.0743333333333333,0.0627621957615134,0.013137681180279,0.0065432999656924,17.7625,17.108333333333334,16.306250000000002,14.9625,0.0,810.0124999999999,44.2,19.497916666666665,2023-08-21,0.0624771118164062,1072.3862418645574
2023-08-22,2023-08-22,4968.854166666667,0.0100328816333176,99.68279587126426,2474.957137591248,0.0179472805113331,2377.679541703107,0.0608545939127604,7.579970429757247e-06,811.1041666666666,0.0565624999999999,0.0695416666666666,0.0572291666666666,0.0765833333333333,0.0621040566162267,0.0138966536863206,0.0069213107199949,18.07708333333333,17.410416666666666,16.308333333333334,14.958333333333334,0.0,811.1041666666666,47.71666666666667,19.64375,2023-08-22,0.0608545939127604,1062.0461810887778
2023-08-23,2023-08-23,4950.1875,0.0100518942916119,99.49496305587184,2481.9089192011675,0.0169208962937872,2364.665412457524,0.062842051188151,9.179683479539776e-06,810.9229166666668,0.0551666666666666,0.068125,0.056625,0.0769375,0.0609718636312919,0.0152023097216023,0.0075716004456803,17.370833333333334,16.691666666666666,15.9375,14.91875,0.8815,810.9229166666668,62.50833333333333,18.45,2023-08-23,0.062842051188151,1080.9007342950686
2023-08-24,2023-08-24,4582.5625,0.0104500706726222,95.72061065863151,2288.7192304258438,0.0506058603951327,2154.67576732193,0.1031341552734375,1.1528872158287136e-05,809.3104166666667,0.0945833333333333,0.1193541666666666,0.057,0.0753333333333333,0.0935521323023806,0.0223695750962098,0.011141299438694,17.445833333333333,17.016666666666666,16.118750000000002,14.891666666666667,5.5164,809.3104166666667,83.36458333333333,17.264583333333334,2023-08-24,0.1031341552734375,1100.085132885569
2023-08-25,2023-08-25,4225.979166666667,0.0108783229617883,91.93166760844474,2131.053333930802,0.0869244466298984,1991.807124303052,0.1481437683105468,1.29460649255665e-05,810.2979166666668,0.1416666666666666,0.1745416666666666,0.0593958333333333,0.0745416666666666,0.1309922349034656,0.0655458679836689,0.0326455079738594,17.23125,16.958333333333332,16.233333333333334,14.966666666666669,10.467899,810.2979166666668,95.16041666666666,16.039583333333333,2023-08-25,0.1481437683105468,1080.2550125945954
2023-08-26,2023-08-26,4171.083333333333,0.0109503700418016,91.33066782688786,2117.8827990582063,0.0905363788134017,1986.7739777324496,0.1499099731445312,1.2225742546363074e-05,810.7708333333334,0.1394583333333333,0.1630833333333333,0.0618125,0.075,0.1269083084854973,0.060836244053634,0.03029985186629,17.131249999999998,16.783333333333335,16.239583333333332,15.05,4.8491,810.7708333333334,85.66875,17.389583333333334,2023-08-26,0.1499099731445312,1075.1174014225608
